Name,Link,Wiki Summary
"Abelman, Ida York",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33106,"Ida York Abelman, (1910–2002), was an American artist and muralist in the 1930s. Abelman was known as a Social Realist. She was born Ida York and lived her early life in New York City.   At the age of 19 she married Larry Abelman, also an artist."
"Abels, Jacobus Theodorus",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2338,No Wikipedia Entry Available for this artist
Abel-Truchet,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=17830,No Wikipedia Entry Available for this artist
"Aberdeen, Harry G.",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7194,No Wikipedia Entry Available for this artist
"Abondio, Antonio",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2006,"Antonio Abondio (1538–1591) was an Italian sculptor, best known as a medallist and as the pioneer of the coloured wax relief portrait miniature.  
Born in Riva del Garda, he worked in Italy between 1552 and 1565, and thereafter mainly for the Habsburgs. His son Alessandro followed in his father's footsteps, also specializing in mythological reliefs, and marrying the widow of another court artist, Hans von Aachen.
Thirteen of Abondio's wax portraits survive, and about sixty medals.  He also made the dies for the first coinage of Emperor Rudolf II.  Initially his style in metal followed that of Leone Leoni, for the facade of whose house in Milan he carved eight large atlantes in stone, but later included many other influences.
He died at Vienna in 1591."
"Abraham, Tancrède",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2858,No Wikipedia Entry Available for this artist
"Abrahami, Elie",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=12430,No Wikipedia Entry Available for this artist
"Abramovitz, Albert",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33107,No Wikipedia Entry Available for this artist
"Abramowitz, Ben",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328,No Wikipedia Entry Available for this artist
"Abramowitz, Benjamin",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328,"Benjamin Abramowitz (also known as ""Ben Hoffman"" during the late 1930s and early 1940s) was an American painter, printmaker, and sculptor. First recognized for his remarkable contribution at age 19 as senior artist with the Federal Art Project of the Works Progress Administration (WPA) in New York City, he is among the most respected Washington DC artists of the past century."
"Abrams, Ross",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2859,No Wikipedia Entry Available for this artist
"Abrams, Ruth",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7195,"Ruth I. Abrams (born 1930) was the first female justice of the Massachusetts Supreme Judicial Court, where she served from 1978 to 2000, and the first female appellate justice in Massachusetts.Justice Abrams is a graduate of Radcliffe College's Class of 1953.  She went on to graduate from Harvard Law School, one of approximately a dozen women in the Class of 1956.  She was an assistant district attorney for Middlesex County (MA) and also served with the State Attorney General's Office.  Justice Abrams also served as special counsel to the Supreme Court of Massachusetts, and as a Superior Court Judge before then-Governor Michael Dukakis appointed her to the Supreme Judicial Court of Massachusetts in 1978, the first woman on the Court.  It would be another 19 years before another woman was appointed a justice to the SJC.  Serving with distinction, she retired from the Court at the age of 70.
Abrams is the daughter of Samuel Abrams, an attorney also a Harvard Law School graduate who had the unique distinction of being the first man in America to graduate from Harvard Law and have both a daughter and a son (George S. Abrams) to graduate from the law school.
Justice Abrams was noted for being a mentor to countless women lawyers, many of whom followed her to the bench."
"Babbitt, Platt D.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=32727,No Wikipedia Entry Available for this artist
"Babcock, William Perkins",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=28284,No Wikipedia Entry Available for this artist
"Babel, Pierre-Edme",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=12023,No Wikipedia Entry Available for this artist
"Baburen, Dirck van",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22774,No Wikipedia Entry Available for this artist
"Bac, Ferdinand",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19361,"Ferdinand-Sigismond Bach, known as Ferdinand Bac, (15 August 1859 - 18 November 1952) was a French cartoonist, artist and writer, son of an illegitimate nephew of the Emperor Napoleon. As a young man, he mixed in the fashionable world of Paris of the Belle Époque, and was known for his caricatures, which appeared in popular journals.
He also traveled widely in Europe and the Mediterranean.  In his fifties, he began a career as a landscape gardener. The gardens that he created at Les Colombières in Menton on the French Riviera are now designated as a Monument Historique.
He also wrote voluminously about social, historical and political subjects, but his work has been largely forgotten."
Bacchiacca,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=131,No Wikipedia Entry Available for this artist
"Bach, Ferdinand Sigismond",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19361,No Wikipedia Entry Available for this artist
"Bach, Julie",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25979,No Wikipedia Entry Available for this artist
"Bacharach, Herman Ilfeld",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=34211,"""I Say a Little Prayer"" is a song written by Burt Bacharach and Hal David for Dionne Warwick, originally peaking at number four on the U.S. Billboard Hot 100 pop singles chart in December 1967.  On the R&B Singles chart it peaked at number eight."
"Bachelard, Gaston",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=28722,"Gaston Bachelard ( ; French: [baʃlaʁ]; 27 June 1884 – 16 October 1962) was a French philosopher. He made contributions in the fields of poetics and the philosophy of science. To the latter he introduced the concepts of epistemological obstacle and epistemological break (obstacle épistémologique and rupture épistémologique). He influenced many subsequent French philosophers, among them Michel Foucault, Louis Althusser, Dominique Lecourt and Jacques Derrida, as well as the sociologist Pierre Bourdieu.
For Gaston the scientific object should be constructed and therefore different from the positivist sciences information is in continuous construction. Empiricism and rationalism are not regarded as dualism or opposition but complementary, therefore studies of a priori and a posteriori or in other words reason and are dialectic and are part of scientific research."
"Bacher, Frank K.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=21905,No Wikipedia Entry Available for this artist
"Bacher, Otto Henry",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6440,No Wikipedia Entry Available for this artist
Bachiacca,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=131,No Wikipedia Entry Available for this artist
Baciccia,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5671,No Wikipedia Entry Available for this artist
Baciccio,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5671,No Wikipedia Entry Available for this artist
"Backhuysen, Ludolf",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5957,No Wikipedia Entry Available for this artist
"Bacler d'Albe, Louis-Albert-Guillain, baron",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2951,No Wikipedia Entry Available for this artist
"Bacon, Francis",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=132,"Francis Bacon, 1st Viscount St Alban,  (; 22 January 1561 – 9 April 1626) was an English philosopher and statesman who served as Attorney General and as Lord Chancellor of England. His works are credited with developing the scientific method and remained influential through the scientific revolution. 
Bacon has been called the father of empiricism. His works argued for the possibility of scientific knowledge based only upon inductive reasoning and careful observation of events in nature. Most importantly, he argued science could be achieved by use of a sceptical and methodical approach whereby scientists aim to avoid misleading themselves. Although his practical ideas about such a method, the Baconian method, did not have a long-lasting influence, the general idea of the importance and possibility of a sceptical methodology makes Bacon the father of the scientific method. This method was a new rhetorical and theoretical framework for science, the practical details of which are still central in debates about science and methodology. Bacon was a patron of libraries and developed a functional system for the cataloging of books by dividing them into three categories—history, poetry, and philosophy—which could further be divided into more specific subjects and subheadings. Bacon was educated at Trinity College, Cambridge, where he rigorously followed the medieval curriculum, largely in Latin.
Bacon was the first recipient of the Queen's counsel designation, which was conferred in 1597 when Queen Elizabeth reserved Bacon as her legal advisor. After the accession of King James I in 1603,  Bacon was knighted. He was later created Baron Verulam in 1618 and Viscount St. Alban in 1621. Because he had no heirs, both titles became extinct upon his death in 1626, at 65 years.  Bacon died of pneumonia, with one account by John Aubrey stating that he had contracted the condition while studying the effects of freezing on the preservation of meat. He is buried at St Michael's Church, St Albans, Hertfordshire."
"Bacon, Peggy",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2952,"Margaret Frances ""Peggy"" Bacon (May 2, 1895 – January 4, 1987)  was an American printmaker, illustrator, painter and writer. Bacon was known for her humorous and ironic etchings and drawings, as well as for her satirical caricatures of prominent personalities in the late 1920s and 1930s.
The aim of a caricature is to heighten and intensify to the point of absurdity all the subject's most striking attributes; a caricature should not necessarily stop at ridiculing the features but should include in its extravagant appraisal whatever of the figure may be needed to explain the personality, the whole drawing imparting a spicy and clairvoyant comment upon the subject's peculiarities.

"
"Badalocchio, Sisto",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22775,"Sisto Badalocchio Rosa (28 June 1585 – c. 1647) was an Italian painter and engraver of the Bolognese School.
Born in Parma, he worked first under Agostino Carracci in Bologna, then Annibale Carracci, in Rome. He worked with Annibale till 1609, then moved back to Parma. His best known work as an engraver was the Raphael's Bible series, which he created together with his fellow student, Giovanni Lanfranco. The images depict a series of frescoes by Raphael's workshop in the Vatican loggia. As a painter, his most important work are the frescoes in the church of San Giovanni Evangelista, Reggio Emilia, which are based on Correggio's earlier works. In this church, he executed the decoration of the dome and pendentives. The dome fresco represents the parousia, i.e. the second coming of Christ, while the pendentives are adorned by the four cardinal virtues. 
Though he often cooperated in fresco painting with Lanfranco, for example in Annibale-designed series the San Diego Chapel in San Giacomo degli Spagnoli (1602–1607) and in Palazzo Costaguti (Nessus and Deianeira), Badalocchio never received the same recognition as his peer. Nevertheless, he is recognized today as an important figure in bringing the artistic styles of the Italian Baroque to northern Italy.

"
"Baden, Aiko",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19608,No Wikipedia Entry Available for this artist
"Baden, Ken",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19607,No Wikipedia Entry Available for this artist
"Baden, Stanley",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25703,No Wikipedia Entry Available for this artist
"Bader, Herman",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7222,No Wikipedia Entry Available for this artist
"Badger, Frances S.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=33143,"Frances Stewart Badger (22 August 1904 – 3 November 1997) was an American painter and muralist, and a prominent member of the Chicago, Illinois art scene during the 1930s and 1940s."
"Badger, Joseph",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=133,"Joseph Badger (c. 1707–1765) was a portrait artist in Boston, Massachusetts, in the 18th century. He was born in Charlestown, Massachusetts, to tailor Stephen Badger and Mercy Kettell. He ""began his career as a house-painter and glazier, and ... throughout his life continued this work, besides painting signs, hatchments and other heraldic devices, in order to eke out a livelihood when orders for portraits slackened."" In 1731 he married Katharine Felch; they moved to Boston around 1733.  He was a member of the Brattle Street Church. He died in Boston in May, 1765, when ""taken with an apoplectic fit as he was walking in his garden, and expired in a few minutes after."" Works by Badger are in the collections of the Worcester Art Museum, the Museum of Fine Arts Boston, and Historic New England's Phillips House, Salem, Mass.

"
"Badii, Libero",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6579,No Wikipedia Entry Available for this artist
"Badin, Ferdinand",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7223,No Wikipedia Entry Available for this artist
"Baer, George",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=181,No Wikipedia Entry Available for this artist
"Cabouret, F.",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6072,No Wikipedia Entry Available for this artist
"Cacciarini, Gianni",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3654,No Wikipedia Entry Available for this artist
"Caccini, Giovanni Battista",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5771,No Wikipedia Entry Available for this artist
"Cadart, Alfred",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3655,"Alfred Cadart (1828–1875) was a French printer, writer and publisher, most notable for his major part in the etching revival in 19th-century France. He played a key role in the revival and sale of etchings in France and beyond. As founder of the French Société des Aquafortistes, he combined strategic understanding with a passion for the artistic qualities of the etching.
His efforts to promote the art of etching did not bring him financial success, but he did help develop the infrastructure for original printmaking that emerged in the 1890s."
"Cadere, André",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=10145,"The Mu.ZEE is a museum in Ostend, Belgium, specializing in Belgian art from 1830 onwards. It was created in 2008 by the fusion of the former Provinciaal Museum voor Moderne Kunst (PMMK, the museum for modern art of the Province of West-Flanders) and the Museum voor Schone Kunsten Oostende (Museum of Fine Arts Ostend), both located in Ostend. The Museum has two dependencies, the Ensorhuis (house of James Ensor) in Ostend, and the Permekemuseum in Jabbeke. Mu.ZEE is an abbreviation of ""Kunstmuseum aan Zee"" (""Art Museum at the Sea"")."
"Cades, Giuseppe",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6819,"Giuseppe Cades (March 4, 1750 – December 8, 1799) was an Italian sculptor, painter, and engraver. 

Cades was born in Rome. He studied under Mancini and Domenico Corvi, gaining a prize in 1765 with his picture of Tobias recovering his Sight. He visited Florence in 1766,  and two years later executed an altar-piece for San Benedetto in Turin and in 1771 another for the church of Santi Apostoli. He also decorated the Palazzo Chigi with frescoes, landscapes, and scenes from Tasso. He has left two etchings, Christ blessing Little Children and The Death of Leonardo da Vinci. He joined the Accademia di San Luca of Rome in 1786. He died in Rome."
"Cadmus, Paul",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3656,"Paul Cadmus (December 17, 1904 – December 12, 1999) was an American artist widely known for his egg tempera paintings of gritty social interactions in urban settings. He also produced many highly finished drawings of single nude male figures. His paintings combine elements of eroticism and social critique in a style often called magic realism."
"Cady, Harrison",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=33262,"Walter Harrison Cady (1877–1970) was an American illustrator and author, best known for his Peter Rabbit comic strip which he wrote and drew for 28 years.
Cady was born in Gardner, Massachusetts, to a town selectman, Edwin Cady, who ran a local general store. His father fostered a love of nature and encouraged his art skills. Cady entered an apprenticeship with a local painter, Parker Perkins. His first publication came as early as 1894: an illustration in a supplement to Harper's Young People (signed Walter H. Cady).
Harrison was 18 when his father was killed in Boston. He moved to New York City and within a year found work as an illustrator with the Brooklyn Eagle newspaper. His salary of $10 a week made it possible for him to support his mother; the two lived in a Greenwich Village cold water flat. He stayed at the Brooklyn Eagle for four years, while also freelancing to other publications.
His income increased considerably after Life editor John Ames Mitchell signed Cady as staff artist and cartoonist. This led to a long career as a newspaper and magazine illustrator, as well as numerous children's books, featuring both fantastic and realistic animal illustrations. After his escalating success through the 1920s, Cady and his wife Melinna decided to take an extended vacation. Touring Europe for two months in 1931, they visited London, Paris, Avignon, Brussels, Arles, Amsterdam, Rome and Venice. In a letter to Harrison's mother, Melinna detailed their adventures:

So far I like Paris as a place to live better than any other city... the shops, the museums with the great works of art... The Follies!!! and on and on. Venice is filled with charm & great beauty & romance yet back of it all, I could imagine in time one might feel the past tragedy of the place. Every afternoon at 4, Harrison & I started in a gondola and just wandered in & out & around until 8 o'clock. It, no doubt, sounds utterly foolish at my age to be so enthusiastic about everything, but, my dear, I am living in a state of thrills.""
He had a long association with Thornton Burgess, illustrating the writer's books, including Happy Jack, and his daily newspaper column, ""Bedtime Stories"". Their partnership spanned five decades, beginning with Baby Possum Has a Scare (c. 1912), The Adventures of Reddy Fox (1913) and Buster Bear Invites Old Mr. Toad to Dine (c. 1914), The series continued into the 1950s with At Paddy the Beaver's Pond (1950), followed by the reprint The Animal World of Thornton Burgess (1962).
Cady was very prolific, illustrating over 70 years for such publications as St. Nicholas Magazine, Boys' Life, The Saturday Evening Post, Ladies' Home Journal, Good Housekeeping and Country Gentleman. He illustrated the Queen Silver-Bell series by Frances Hodgson Burnett.
In addition to his extensive illustrating of others' books, Cady also authored several books with his own illustrations, including his Butternut Hill series (1929), Johnny Funny-Bunny's Picnic Party (1928) and Spring Moving Day (1928)."
"Caffi, Ippolito",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=34366,Ippolito Caffi (1809–1866) was an Italian painter of architectural subjects and seascapes or urban vedute.
"Caffiéri, Jacques",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5507,No Wikipedia Entry Available for this artist
"Cage, John",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6936,"John Milton Cage Jr. (September 5, 1912 – August 12, 1992) was an American composer, music theorist, artist, and philosopher. A pioneer of indeterminacy in music, electroacoustic music, and non-standard use of musical instruments, Cage was one of the leading figures of the post-war avant-garde. Critics have lauded him as one of the most influential composers of the 20th century. He was also instrumental in the development of modern dance, mostly through his association with choreographer Merce Cunningham, who was also Cage's romantic partner for most of their lives.Cage is perhaps best known for his 1952 composition 4′33″, which is performed in the absence of deliberate sound; musicians who present the work do nothing aside from being present for the duration specified by the title. The content of the composition is not ""four minutes and 33 seconds of silence,"" as is often assumed, but rather the sounds of the environment heard by the audience during performance. The work's challenge to assumed definitions about musicianship and musical experience made it a popular and controversial topic both in musicology and the broader aesthetics of art and performance. Cage was also a pioneer of the prepared piano (a piano with its sound altered by objects placed between or on its strings or hammers), for which he wrote numerous dance-related works and a few concert pieces. The best known of these is Sonatas and Interludes (1946–48).His teachers included Henry Cowell (1933) and Arnold Schoenberg (1933–35), both known for their radical innovations in music, but Cage's major influences lay in various East and South Asian cultures. Through his studies of Indian philosophy and Zen Buddhism in the late 1940s, Cage came to the idea of aleatoric or chance-controlled music, which he started composing in 1951. The I Ching, an ancient Chinese classic text on changing events, became Cage's standard composition tool for the rest of his life. In a 1957 lecture, Experimental Music, he described music as ""a purposeless play"" which is ""an affirmation of life – not an attempt to bring order out of chaos nor to suggest improvements in creation, but simply a way of waking up to the very life we're living""."
"Cagnacci, Guido",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=22797,"Guido Cagnacci (19 January 1601 – 1663) was an Italian painter originally from Santarcangelo di Romagna. Associated most readily with the Baroque period, his mature works are characterized by their use of chiaroscuro and their sensual subjects.  He was influenced by the masters of the Bolognese School."
"Cagnola, Luigi",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=34761,"Marchese Luigi Cagnola (9 June 1762 – 14 August 1833) was an Italian architect.

Cagnola was born in Milan. He was sent at the age of fourteen to the Clementine College at Rome, and afterwards studied at the University of Pavia. He was intended for the legal profession, but his passion for architecture was too strong, and after holding some government posts at Milan, he entered as a competitor for the construction of the Porta Orientale. His designs were commended, but were not selected on account of the expense their adoption would have involved.
From that time Cagnola devoted himself entirely to architecture. After the death of his father he spent two years in Verona and Venice, studying the architectural structures of these cities. In 1806 he was called upon to erect a triumphal arch for the marriage of Eugene Beauharnais with the princess of Bavaria. The arch was of wood, but was of such beauty that it was resolved to carry it out in marble. The result was the magnificent Arco della Pace (Arch of Peace) at Porta Sempione in Milan, surpassed in dimensions only by the Arc de Triomphe in Paris. Among other works executed by Cagnola are the Porta Ticinese and the chapel of Santa Marcellina in Milan, and the church tower in Urgnano.

He died in Inverigo in 1833, five years before the Arco della Pace was completed. Outside of the town of Inverigo, he built a villa for himself, named Villa La Rotonda, completed by one of his pupils."
"Cahn, Marcelle",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3657,"Marcelle Cahn (March 1, 1895 - September 20, 1981) was a French painter and one of the members of Abstraction-Création. She was born in a Jewish family of Strasbourg, Alsace and died at 86, in Neuilly-sur-Seine. The French contemporary artist Richard Conte made an homage to Marcelle Cahn in 1995 at the Nicole Ferry Art Gallery (Paris)."
"Caillebotte, Gustave",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5987,"Gustave Caillebotte (French: [ɡystav kɑjbɔt]; 19 August 1848 – 21 February 1894) was a French painter, member and patron of the artists known as Impressionists, although he painted in a more realistic manner than many others in the group. Caillebotte was noted for his early interest in photography as an art form."
"Caillou, Jean",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=1902,No Wikipedia Entry Available for this artist
"Cain, Auguste-Nicolas",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=2046,"Auguste Nicholas Caïn (10 November 1821 – 6 August 1894) was a noted French sculptor in the Animaliers school, known for his portrayals of wild and domesticated animals."
"Cain, Charles William",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3658,No Wikipedia Entry Available for this artist
"Cain, Fred",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3659,No Wikipedia Entry Available for this artist
"Cain, J. Frederick Jr.",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3659,No Wikipedia Entry Available for this artist
"Cairano, Gasparo",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=30346,"Gasparo Cairano, also known as Gasparo da Cairano, de Cayrano, da Milano, Coirano, and other variations (born Milan or Pieve del Cairo or Cairate, before 1489 - Brescia, died before 1517), was an Italian sculptor of the Renaissance.
The artist emerged in 1489 as part of the cultural world of Milan, beginning a successful career that turned him into a leading exponent of Renaissance sculpture in Brescia, distinguishing himself with works of cultural import such as his cycle of the Caesars for the Loggia palace in Brescia, as well as the Mausoleum of Martinengo. He introduced a powerful and highly expressive classical taste, as opposed to the hitherto existing refined decorativeness. During the first decade of the sixteenth century, Gasparo was able to win over public and private clients who sought to translate into stone their pride in their supposed historical descent from ancient Rome.
After his death, Gasparo's reputation fell into oblivion caused by unfavourable secular criticism. His complex artistic personality and catalog of works were only reconstructed from the end of the twentieth century, thanks to targeted critical studies that have for the first time allowed a thorough analysis and rediscovery of his works."
"Caithness, Earl of",https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=16464,No Wikipedia Entry Available for this artist
